year,age,gender,region,undetectable,cv401,cv1001,cv2001,cv10001,cv50000,cv100000,
2011,22 - 50,m,NORTE,5651,232,179,695,906,282,302,
2011,22 - 50,m,SUDESTE,81120,2658,2090,6534,7163,2182,2749,
2011,22 - 50,m,SUL,25372,818,638,1814,2036,619,853,
2011,50 plus,f,CENTRO OESTE,1411,34,21,71,60,12,22,
2011,50 plus,f,NORDESTE,2839,92,92,203,168,57,55,
2011,50 plus,f,NORTE,874,30,25,59,60,11,11,
2011,50 plus,f,SUDESTE,19524,536,410,984,903,268,301,
2011,50 plus,f,SUL,7391,189,143,347,243,83,107,
2011,50 plus,m,CENTRO OESTE,2178,37,24,93,65,33,34,
2011,50 plus,m,NORDESTE,5251,156,108,267,250,107,123,
2011,50 plus,m,NORTE,1297,53,46,100,103,23,40,
2011,50 plus,m,SUDESTE,29111,637,474,1232,1129,341,423,
2011,50 plus,m,SUL,9185,184,135,348,359,100,144,
